agent-1  | 2026-09-12T01:04:35.155951Z [info     ] publisher.event_published      event_id=04b95b00-c759-41ed-9063-0b7fd67fd0fb
agent-1  | 2026-09-12T01:04:35.158461Z [info     ] detector.change_detected       event_id=04b95b00-c759-41ed-9063-0b7fd67fd0fb event_type=file_modified path=/watch/latency-ext-069.txt
agent-1  | 2026-09-12T01:04:35.168284Z [info     ] publisher.event_acked          event_id=04b95b00-c759-41ed-9063-0b7fd67fd0fb
agent-1  | 2026-09-12T01:04:35.244085Z [info     ] decision.evaluated             action=alert_only action_failed=False event_id=49b2e756-ad9e-43a9-84a9-34a6eccc0d0d path=/watch/latency-ext-070.txt
agent-1  | 2026-09-12T01:04:35.250831Z [info     ] publisher.event_published      event_id=49b2e756-ad9e-43a9-84a9-34a6eccc0d0d
agent-1  | 2026-09-12T01:04:35.253070Z [info     ] detector.change_detected       event_id=49b2e756-ad9e-43a9-84a9-34a6eccc0d0d event_type=file_modified path=/watch/latency-ext-070.txt
agent-1  | 2026-09-12T01:04:35.263273Z [info     ] publisher.event_acked          event_id=49b2e756-ad9e-43a9-84a9-34a6eccc0d0d
agent-1  | 2026-09-12T01:04:35.350504Z [info     ] decision.evaluated             action=alert_only action_failed=False event_id=67cbacbd-f404-4b0f-9b34-116d9a37daf3 path=/watch/latency-ext-071.txt
agent-1  | 2026-09-12T01:04:35.357330Z [info     ] publisher.event_published      event_id=67cbacbd-f404-4b0f-9b34-116d9a37daf3
agent-1  | 2026-09-12T01:04:35.359498Z [info     ] detector.change_detected       event_id=67cbacbd-f404-4b0f-9b34-116d9a37daf3 event_type=file_modified path=/watch/latency-ext-071.txt
agent-1  | 2026-09-12T01:04:35.370437Z [info     ] publisher.event_acked          event_id=67cbacbd-f404-4b0f-9b34-116d9a37daf3
agent-1  | 2026-09-12T01:04:35.445919Z [info     ] decision.evaluated             action=alert_only action_failed=False event_id=ba8cd889-7d3f-4a30-82b5-a13196dfb8dc path=/watch/latency-ext-072.txt
agent-1  | 2026-09-12T01:04:35.452745Z [info     ] publisher.event_published      event_id=ba8cd889-7d3f-4a30-82b5-a13196dfb8dc
agent-1  | 2026-09-12T01:04:35.454939Z [info     ] detector.change_detected       event_id=ba8cd889-7d3f-4a30-82b5-a13196dfb8dc event_type=file_modified path=/watch/latency-ext-072.txt
agent-1  | 2026-09-12T01:04:35.466120Z [info     ] publisher.event_acked          event_id=ba8cd889-7d3f-4a30-82b5-a13196dfb8dc
agent-1  | 2026-09-12T01:04:35.541678Z [info     ] decision.evaluated             action=alert_only action_failed=False event_id=5ec10f6d-0bf1-405f-b9e2-7c6010878562 path=/watch/latency-ext-073.txt
agent-1  | 2026-09-12T01:04:35.548781Z [info     ] publisher.event_published      event_id=5ec10f6d-0bf1-405f-b9e2-7c6010878562
