[2026-09-17T22:41:16.789224727Z] === Batería 5 — etiqueta=nominal rate_limit=100/60s ===
[2026-09-17T22:41:16.801053312Z] candidato=7a906c202e417aec5f03d9a7545e216a724aca81 arbol=1d5848c435a6a3a06725e9bceb57e586977e9c9a tag=v1.0-tesis
[2026-09-17T22:41:17.126909036Z] eventos_iniciales=0 cola_inicial=-1
[2026-09-17T22:41:17.132958287Z] --- fase 1: detener el backend (corte de 5 minutos) ---
[2026-09-17T22:41:18.221916342Z] backend detenido
[2026-09-17T22:41:18.228917042Z] --- fase 2: generar 3000 cambios a 10/s durante 300 s ---
========================================================================
generador_carga.py — arranque 2026-09-17T22:41:18.947892+00:00
========================================================================
  generador                    = scripts/generador_carga.py
 [00162/3000] create simple     /srv/fim-watch/gen_00028.txt ts=2026-09-17T22:41:35.053010+00:00
 [00163/3000] modify simple     /srv/fim-watch/gen_00020.txt ts=2026-09-17T22:41:35.153151+00:00
 [00164/3000] modify simple     /srv/fim-watch/gen_00024.txt ts=2026-09-17T22:41:35.252783+00:00
 [00165/3000] create simple     /srv/fim-watch/gen_00029.txt ts=2026-09-17T22:41:35.352969+00:00
 [00166/3000] modify simple     /srv/fim-watch/gen_00028.txt ts=2026-09-17T22:41:35.453065+00:00
 [00167/3000] modify simple     /srv/fim-watch/critico/gen_00025.txt ts=2026-09-17T22:41:35.552727+00:00
 [00168/3000] modify simple     /srv/fim-watch/gen_00024.txt ts=2026-09-17T22:41:35.652812+00:00
 [00169/3000] create simple     /srv/fim-watch/gen_00030.txt ts=2026-09-17T22:41:35.752671+00:00
 [00170/3000] modify simple     /srv/fim-watch/gen_00022.txt ts=2026-09-17T22:41:35.852820+00:00
 [00171/3000] create simple     /srv/fim-watch/gen_00031.txt ts=2026-09-17T22:41:35.952836+00:00
 [00172/3000] create efimero    /srv/fim-watch/gen_00032.txt ts=2026-09-17T22:41:36.052938+00:00
 [00173/3000] delete efimero    /srv/fim-watch/gen_00032.txt ts=2026-09-17T22:41:36.152833+00:00
 [00174/3000] modify simple     /srv/fim-watch/gen_00027.txt ts=2026-09-17T22:41:36.252769+00:00
 [00175/3000] modify simple     /srv/fim-watch/gen_00024.txt ts=2026-09-17T22:41:36.353117+00:00
 [00176/3000] modify simple     /srv/fim-watch/gen_00006.txt ts=2026-09-17T22:41:36.453062+00:00
 [00177/3000] create simple     /srv/fim-watch/gen_00033.txt ts=2026-09-17T22:41:36.552643+00:00
 [00178/3000] modify simple     /srv/fim-watch/gen_00029.txt ts=2026-09-17T22:41:36.652778+00:00
 [00179/3000] modify simple     /srv/fim-watch/gen_00006.txt ts=2026-09-17T22:41:36.752783+00:00
 [00180/3000] modify revertido  /srv/fim-watch/gen_00027.txt ts=2026-09-17T22:41:36.852778+00:00
 [00181/3000] modify revertido  /srv/fim-watch/gen_00027.txt ts=2026-09-17T22:41:36.952709+00:00
 [00182/3000] modify colapsado  /srv/fim-watch/critico/gen_00025.txt ts=2026-09-17T22:41:37.052668+00:00
 [00183/3000] modify colapsado  /srv/fim-watch/critico/gen_00025.txt ts=2026-09-17T22:41:37.152677+00:00
 [00184/3000] modify colapsado  /srv/fim-watch/critico/gen_00025.txt ts=2026-09-17T22:41:37.253169+00:00
 [00185/3000] modify colapsado  /srv/fim-watch/critico/gen_00025.txt ts=2026-09-17T22:41:37.352994+00:00
 [00186/3000] modify colapsado  /srv/fim-watch/critico/gen_00025.txt ts=2026-09-17T22:41:37.452660+00:00
 [00187/3000] create efimero    /srv/fim-watch/gen_00034.txt ts=2026-09-17T22:41:37.553401+00:00
 [00188/3000] delete efimero    /srv/fim-watch/gen_00034.txt ts=2026-09-17T22:41:37.652724+00:00
 [00189/3000] create simple     /srv/fim-watch/gen_00035.txt ts=2026-09-17T22:41:37.752691+00:00
 [00190/3000] modify simple     /srv/fim-watch/gen_00024.txt ts=2026-09-17T22:41:37.853112+00:00
 [00191/3000] modify simple     /srv/fim-watch/gen_00035.txt ts=2026-09-17T22:41:37.953305+00:00
 [00192/3000] modify simple     /srv/fim-watch/gen_00031.txt ts=2026-09-17T22:41:38.053317+00:00
 [00193/3000] modify revertido  /srv/fim-watch/gen_00033.txt ts=2026-09-17T22:41:38.153311+00:00
 [00194/3000] modify revertido  /srv/fim-watch/gen_00033.txt ts=2026-09-17T22:41:38.253285+00:00
 [00195/3000] modify colapsado  /srv/fim-watch/gen_00029.txt ts=2026-09-17T22:41:38.352673+00:00
 [00196/3000] modify colapsado  /srv/fim-watch/gen_00029.txt ts=2026-09-17T22:41:38.453275+00:00
 [00197/3000] modify colapsado  /srv/fim-watch/gen_00029.txt ts=2026-09-17T22:41:38.552718+00:00
 [00198/3000] modify colapsado  /srv/fim-watch/gen_00029.txt ts=2026-09-17T22:41:38.653339+00:00
 [00199/3000] modify colapsado  /srv/fim-watch/gen_00029.txt ts=2026-09-17T22:41:38.753059+00:00
