========================================================================
generador_carga.py — arranque 2026-09-18T02:11:45.884765+00:00
========================================================================
  generador                    = scripts/generador_carga.py
  seed                         = 20260917
  rate_eventos_por_segundo     = 0.2778
  count                        = 500
  mix                          = {'creacion': 0.2, 'modificacion': 0.7, 'borrado': 0.1}
  revert_frac                  = 0.2
  burst_frac                   = 0.2
  burst_size                   = 5
  ephemeral_frac               = 0.2
  critical_subdir              = critico
  critical_frac                = 0.2
  file_size_bytes              = 64
  prefix                       = gen
  dir_host                     = /srv/fim-watch
  agent_prefix                 = /srv/fim-watch
  intervalo_s                  = 3.599712023038157
  duracion_estimada_s          = 1796.2562994960404
  manifiesto                   = /srv/evidencia/bateria3_manifiesto.json
  log                          = /srv/evidencia/bateria3_generador.log
  dry_run                      = False
  python                       = 3.13.15
  host                         = fim-host
 [00160/500] modify simple     /srv/fim-watch/gen_00026.txt ts=2026-09-18T02:21:18.240806+00:00
 [00161/500] create efimero    /srv/fim-watch/critico/gen_00033.txt ts=2026-09-18T02:21:21.840705+00:00
 [00162/500] delete efimero    /srv/fim-watch/critico/gen_00033.txt ts=2026-09-18T02:21:25.440491+00:00
 [00163/500] create simple     /srv/fim-watch/gen_00034.txt ts=2026-09-18T02:21:29.040436+00:00
 [00164/500] delete simple     /srv/fim-watch/gen_00028.txt ts=2026-09-18T02:21:32.639770+00:00
 [00165/500] create simple     /srv/fim-watch/critico/gen_00035.txt ts=2026-09-18T02:21:36.239620+00:00
 [00166/500] create simple     /srv/fim-watch/gen_00036.txt ts=2026-09-18T02:21:39.839426+00:00
 [00167/500] create simple     /srv/fim-watch/gen_00037.txt ts=2026-09-18T02:21:43.439113+00:00
 [00168/500] modify simple     /srv/fim-watch/gen_00025.txt ts=2026-09-18T02:21:47.038640+00:00
 [00169/500] modify revertido  /srv/fim-watch/critico/gen_00009.txt ts=2026-09-18T02:21:50.638914+00:00
 [00170/500] modify revertido  /srv/fim-watch/critico/gen_00009.txt ts=2026-09-18T02:21:54.238524+00:00
 [00171/500] delete simple     /srv/fim-watch/critico/gen_00035.txt ts=2026-09-18T02:21:57.837911+00:00
 [00172/500] modify simple     /srv/fim-watch/gen_00026.txt ts=2026-09-18T02:22:01.437926+00:00
 [00173/500] modify simple     /srv/fim-watch/gen_00036.txt ts=2026-09-18T02:22:05.037577+00:00
 [00174/500] modify simple     /srv/fim-watch/gen_00017.txt ts=2026-09-18T02:22:08.637013+00:00
 [00175/500] delete simple     /srv/fim-watch/gen_00023.txt ts=2026-09-18T02:22:12.236357+00:00
 [00176/500] modify simple     /srv/fim-watch/gen_00014.txt ts=2026-09-18T02:22:15.836842+00:00
 [00177/500] modify simple     /srv/fim-watch/critico/gen_00029.txt ts=2026-09-18T02:22:19.436341+00:00
 [00178/500] modify simple     /srv/fim-watch/gen_00032.txt ts=2026-09-18T02:22:23.036097+00:00
 [00179/500] modify simple     /srv/fim-watch/gen_00025.txt ts=2026-09-18T02:22:26.635551+00:00
 [00180/500] delete simple     /srv/fim-watch/gen_00017.txt ts=2026-09-18T02:22:30.235490+00:00
 [00181/500] delete simple     /srv/fim-watch/gen_00030.txt ts=2026-09-18T02:22:33.835289+00:00
 [00182/500] modify simple     /srv/fim-watch/gen_00034.txt ts=2026-09-18T02:22:37.435171+00:00
 [00183/500] delete simple     /srv/fim-watch/gen_00037.txt ts=2026-09-18T02:22:41.034620+00:00
